Resource; Field; Cardinality; Definition; Type; Binding; Short; Producer Obligation; Consumer Obligation
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSObservation; result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; CodeableConcept; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSObservation; result.uncertainty; 0..1; Measurement uncertainty information about the observation result.; Base;   ; Measurement uncertainty type and interval if needed. ; SHOULD:able-to-populate; SHOULD:display
EHDSObservation; result.uncertainty.value; 1..1; The numerical value of the measurement uncertainty.; decimal;   ; The numerical value of the measurement uncertainty. ; ; 
EHDSObservation; result.uncertainty.type; 0..1; Probability Distribution Type for uncertainty; Coding; HL7 ProbabilityDistributionType (preferred)  ; Probability Distribution Type for uncertainty ; ; 
EHDSObservation; result.dataAbsentReason; 0..1; Provides a reason why the expected value in the element Observation.value[x] is missing.; CodeableConcept; HL7 Data absent reason (preferred)  ; Provides a reason why the expected value in the element Observation.value[x] is missing. ; SHALL:able-to-populate; SHALL:display
EHDSObservation; referenceRange; 0..*; Reference range, multiple reference ranges of different types could be provided. Provides guide for interpretation of the result.; Base;   ; Reference range, multiple reference ranges of different types could be provided. Provides guide for interpretation of the result. ; SHOULD:able-to-populate; SHALL:display
EHDSObservation; referenceRange.low; 0..1; Low limit of the reference range.; Quantity; UCUM for units (preferred)  ; Low limit of the reference range. ; ; 
EHDSObservation; referenceRange.high; 0..1; High limit of the reference range.; Quantity; UCUM for units (preferred)  ; High limit of the reference range. ; ; 
EHDSObservation; referenceRange.normalValue; 0..1; Normal value, if relevant for the reference range.; CodeableConcept; SNOMED CT (preferred)  ; Normal value, if relevant for the reference range. ; ; 
EHDSObservation; referenceRange.type; 0..1; Type of reference range.; CodeableConcept; HL7 Observation Reference Range Meaning Codes (preferred)  ; Type of reference range. ; ; 
EHDSObservation; referenceRange.appliesTo; 0..*; Codes to indicate the target population this reference range applies to. For example, a reference range may be based on the normal population or a particular sex or race. Multiple appliesTo are interpreted as an \"AND\" of the target populations.; CodeableConcept; SNOMED CT, HL7 v3-Race (preferred)  ; Codes to indicate the target population this reference range applies to. ; ; 
EHDSObservation; referenceRange.age; 0..1; Age range to which this reference range applies if applicable.; Range; UCUM for units (preferred)  ; Age range to which this reference range applies if applicable. ; ; 
EHDSObservation; referenceRange.text; 0..1; Text based reference range in an observation which may be used when a quantitative range is not appropriate for an observation. An example would be a reference value of \"Negative\" or a list or table of \"normals\".; string;   ; Text based reference range in an observation. ; ; 
EHDSObservation; interpretation; 0..*; Information about reference intervals and result interpretation.; CodeableConcept; SNOMED CT, HL7 ObservationInterpretation (preferred)  ; Information about reference intervals and result interpretation. ; ; 
EHDSObservation; note; 0..1; Comments and narrative representation of the observation result and findings.; string;   ; Comments and narrative representation of the observation result and findings. ; ; 
EHDSObservation; component; 0..*; Component in case the observation consists of multiple sub-observations (e.g. blood pressure).; Base;   ; Component in case the observation consists of multiple sub-observations (e.g. blood pressure). ; ; 
EHDSObservation; component.type; 1..1; Code representing the observation using the agreed code systems.; CodeableConcept; LOINC, SNOMED CT (preferred)  ; Code representing the observation using the agreed code systems. ; SHALL:able-to-populate; SHALL:display, SHALL:process
EHDSObservation; component.originalName; 0..1; Original (user-friendly) name of the observation as used in the local laboratory or clinical system.; string;   ; Original (user-friendly) name of the observation as used in the local laboratory or clinical system. ; SHOULD:able-to-populate; SHOULD:display
EHDSObservation; component.result; 1..1; Result of the observation including text, numeric, coded, and other types of results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation.; Base;   ; Result of the observation including text, numeric, coded, and other types of results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation. ; SHALL:able-to-populate; SHALL:display
EHDSObservation; component.result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; string; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSObservation; component.result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; Quantity; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSObservation; component.result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; Range; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSObservation; component.result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; Ratio; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSObservation; component.result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; CodeableConcept; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSObservation; component.result.uncertainty; 0..1; Measurement uncertainty information about the observation result.; Base;   ; Measurement uncertainty type and interval if needed. ; SHOULD:able-to-populate; SHOULD:display
EHDSObservation; component.result.uncertainty.value; 1..1; The numerical value of the measurement uncertainty.; decimal;   ; The numerical value of the measurement uncertainty. ; ; 
EHDSObservation; component.result.uncertainty.type; 0..1; Probability Distribution Type for uncertainty; Coding; HL7 ProbabilityDistributionType (preferred)  ; Probability Distribution Type for uncertainty ; ; 
EHDSObservation; component.result.dataAbsentReason; 0..1; Provides a reason why the expected value in the element component.value[x] is missing.; CodeableConcept; HL7 Data absent reason (preferred)  ; Provides a reason why the expected value in the element component.value[x] is missing. ; SHALL:able-to-populate; SHALL:display
EHDSObservation; component.referenceRange; 0..*; Reference range, multiple reference ranges of different types could be provided. Provides guide for interpretation of the result.; Base;   ; Reference range, multiple reference ranges of different types could be provided. Provides guide for interpretation of the result. ; SHOULD:able-to-populate; SHALL:display
EHDSObservation; component.referenceRange.low; 0..1; Low limit of the reference range.; Quantity; UCUM for units (preferred)  ; Low limit of the reference range. ; ; 
EHDSObservation; component.referenceRange.high; 0..1; High limit of the reference range.; Quantity; UCUM for units (preferred)  ; High limit of the reference range. ; ; 
EHDSObservation; component.referenceRange.normalValue; 0..1; Normal value, if relevant for the reference range.; CodeableConcept; SNOMED CT (preferred)  ; Normal value, if relevant for the reference range. ; ; 
EHDSObservation; component.referenceRange.type; 0..1; Type of reference range.; CodeableConcept; HL7 Observation Reference Range Meaning Codes (preferred)  ; Type of reference range. ; ; 
EHDSObservation; component.referenceRange.appliesTo; 0..*; Codes to indicate the target population this reference range applies to. For example, a reference range may be based on the normal population or a particular sex or race. Multiple appliesTo are interpreted as an \"AND\" of the target populations.; CodeableConcept; SNOMED CT, HL7 v3-Race (preferred)  ; Codes to indicate the target population this reference range applies to. ; ; 
EHDSObservation; component.referenceRange.age; 0..1; Age range to which this reference range applies if applicable.; Range; UCUM for units (preferred)  ; Age range to which this reference range applies if applicable. ; ; 
EHDSObservation; component.referenceRange.text; 0..1; Text based reference range in an observation which may be used when a quantitative range is not appropriate for an observation. An example would be a reference value of \"Negative\" or a list or table of \"normals\".; string;   ; Text based reference range in an observation. ; ; 
EHDSObservation; component.interpretation; 0..*; Information about reference intervals and result interpretation.; CodeableConcept; SNOMED CT, HL7 ObservationInterpretation (preferred)  ; Information about reference intervals and result interpretation. ; ; 
EHDSObservation; derivedFrom[x]; 0..*; Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image. ; ; 
EHDSObservation; derivedFrom[x]; 0..*; Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLaboratoryObservation;   ; Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image. ; ; 
EHDSObservation; derivedFrom[x]; 0..*; Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSImagingStudy;   ; Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image. ; ; 
EHDSObservation; hasMember[x]; 0..*; This observation is a group observation (e.g. a battery, a panel of tests, a set of vital sign measurements) that includes the target as a member of the group.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLaboratoryObservation;   ; This observation is a group observation (e.g. a battery, a panel of tests, a set of vital sign measurements) that includes the target as a member of the group. ; ; 
EHDSObservation; hasMember[x]; 0..*; This observation is a group observation (e.g. a battery, a panel of tests, a set of vital sign measurements) that includes the target as a member of the group.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; This observation is a group observation (e.g. a battery, a panel of tests, a set of vital sign measurements) that includes the target as a member of the group. ; ; 
EHDSOrganisation; ; 0..*; Model for information about an organisation; ;   ; Organisation model ; ; 
EHDSOrganisation; identifier; 0..*; Organisation identifier; Identifier;   ; Organisation identifier ; SHALL:able-to-populate; SHALL:process
EHDSOrganisation; type; 0..*; Kind of organisation; CodeableConcept; HL7 organisation_type (preferred)  ; Kind of organisation ; ; 
EHDSOrganisation; name; 0..1; Organisation name; string;   ; Organisation name ; SHALL:able-to-populate; SHALL:display
EHDSOrganisation; address; 0..*; Mailing or office addresses.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAddress;   ; Mailing or office addresses. ; SHALL:able-to-populate; SHALL:display
EHDSOrganisation; telecom; 0..*; Telecommunication contact information (addresses) associated with an organisation, such as phone number, email, or messaging service.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSTelecom;   ; Telecommunication contact information (addresses) associated with an organisation, such as phone number, email, or messaging service. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSOrganisation; partOf; 0..1; The organisation of which this organisation forms a part; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The organisation of which this organisation forms a part ; SHOULD:able-to-populate; SHALL:display
EHDSPatient; ; 0..*; Model for information about a patient (subject of care).; ;   ; Patient model ; ; 
EHDSPatient; identifier; 1..*; An identifier of the patient that is unique within a defined scope (typically a national patient identifier, but it can also be a temporary identifier issued by the EHR).; Identifier;   ; An identifier of the patient that is unique within a defined scope (typically a national patient identifier, but it can also be a temporary identifier issued by the EHR). ; SHALL:able-to-populate; SHALL:process, SHOULD:display
EHDSPatient; name; 0..*; Name might consist of name parts, e.g. Given name or names, family name/surname, name prefix etc.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHumanName;   ; Name associated with the patient/subject. ; SHALL:able-to-populate; SHALL:display
EHDSPatient; dateOfBirth; 0..1; Date of birth; dateTime;   ; Date of birth ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSPatient; deceased[x]; 0..1; Whether the patient is deceased or date of death.; boolean;   ; Whether the patient is deceased or date of death. ; ; 
EHDSPatient; deceased[x]; 0..1; Whether the patient is deceased or date of death.; dateTime;   ; Whether the patient is deceased or date of death. ; ; 
EHDSPatient; administrativeGender; 0..1; This field must contain a recognised valid value for "administrative gender". If different, "physiological gender" should be communicated elsewhere.; CodeableConcept; HL7 Administrative Gender (preferred)  ; Administrative gender ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSPatient; address; 0..*; The addresses are always sequences of address parts (e.g. street address line, country, postal code, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code, if this attribute is not present it is assumed to be the default address useful for any purpose.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAddress;   ; Mailing and home or office addresses. ; ; 
EHDSPatient; telecom; 0..*; Contact information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSTelecom;   ; Contact information. ; ; 
EHDSPatientSummary; ; 0..*; The model is a structured document designed to provide an overview of a patient’s most important health information. The model aims to be compatible with the ISO International Patient Summary standard.; ;   ; Patient summary model ; ; 
EHDSPatientSummary; header; 1..1; Basic metadata for this information; Base;   ; Document header ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; header.identifier; 1..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Unique identifier of the document ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; header.author[x]; 1..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Author(s) of the document ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; header.author[x]; 1..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Author(s) of the document ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; header.author[x]; 1..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Author(s) of the document ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; header.date; 1..1; Date and optionally time of authoring/issuing; dateTime;   ; Date of finalising/issuing the document ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; header.status; 1..1; Status of the resource or document; CodeableConcept;   ; Status of the document ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; header.source; 0..0; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. ; ; 
EHDSPatientSummary; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. ; SHOULD:able-to-populate; SHOULD:process
EHDSPatientSummary; header.documentType; 1..1; Type of document at hand, e.g. 60591-5 Patient summary document.; CodeableConcept; LOINC (preferred)  ; Type of document at hand, e.g. 60591-5 Patient summary document. ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; header.documentTitle; 1..1; Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024'; string;   ; Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024' ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; header.period; 0..1; Time period of information covered in the document; Period;   ; Time period of information covered in the document ; ; 
EHDSPatientSummary; header.version; 0..1; Business version of the document. The exact algorithm for versioning is decided by the producer/custodian; string;   ; Business version of the document. The exact algorithm for versioning is decided by the producer/custodian ; ; 
EHDSPatientSummary; header.attestation; 0..*; Document attestation details; Base;   ; Document attestation details ; ; 
EHDSPatientSummary; header.attestation.attester[x]; 1..1; Attester who validated the document; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Attester who validated the document ; ; 
EHDSPatientSummary; header.attestation.attester[x]; 1..1; Attester who validated the document; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Attester who validated the document ; ; 
EHDSPatientSummary; header.attestation.datetime; 1..1; Date and time of the approval of the document by Attester; dateTime;   ; Date and time of the approval of the document by Attester ; ; 
EHDSPatientSummary; header.legalAuthentication; 0..*; Document legal authentication details; Base;   ; Document legal authentication details ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; header.legalAuthentication.legalAuthenticator[x]; 1..1; The person or organisation taking responsibility for the content of the document.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The person or organisation taking responsibility for the content of the document. ; ; 
EHDSPatientSummary; header.legalAuthentication.legalAuthenticator[x]; 1..1; The person or organisation taking responsibility for the content of the document.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The person or organisation taking responsibility for the content of the document. ; ; 
EHDSPatientSummary; header.legalAuthentication.datetime; 1..1; Date and time when the document was authorised; dateTime;   ; Date and time when the document was authorised ; ; 
EHDSPatientSummary; header.eventType; 0..*; Categorisation of the event covered by the document (e.g. laboratory study types, imaging study types including modality, etc.). Selection of such tags or labels depends on the use case and agreement between data sharing parties. This meta-data element serves primarily for searching and filtering purposes.; CodeableConcept; LOINC, SNOMED CT, dicom-cid-33-Modality (preferred)  ; Categorisation of the event covered by the document (e.g. laboratory study types, imaging study types including modality, etc.). Selection of such tags or labels depends on the use case and agreement between data sharing parties. This meta-data element serves primarily for searching and filtering purposes. ; ; 
EHDSPatientSummary; header.serviceSpecialty; 0..*; Additional details about where the content was created (e.g. clinical specialty); CodeableConcept; SNOMED CT (preferred)  ; Additional details about where the content was created (e.g. clinical specialty) ; ; 
EHDSPatientSummary; header.custodian; 0..1; Organisation that is in charge of maintaining the document/report.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Organisation that is in charge of maintaining the document/report. ; ; 
EHDSPatientSummary; presentedForm; 0..*; A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAttachment;   ; A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document ; SHOULD:able-to-populate; SHOULD:display
EHDSPatientSummary; alerts; 0..1; Substantial alerts or warnings that health professionals should be aware of.; Base;   ; Section: Alerts ; SHOULD:able-to-populate; SHOULD:process
EHDSPatientSummary; alerts.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. ; SHOULD:able-to-populate; SHOULD:display
EHDSPatientSummary; alerts.medicalAlert; 0..*; Description of medical alerts in textual format: any clinical information that is imperative to know so that the life or health of the patient does not come under threat.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAlert;   ; Description of medical alerts in textual format: any clinical information that is imperative to know so that the life or health of the patient does not come under threat. ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; alerts.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional ; SHOULD:able-to-populate; SHOULD:display
EHDSPatientSummary; allergiesAndIntolerances; 1..1; Section: Allergies and intolerances; Base;   ; Section: Allergies and intolerances ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; allergiesAndIntolerances.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. ; SHOULD:able-to-populate; SHOULD:display
EHDSPatientSummary; allergiesAndIntolerances.allergyIntolerance; 0..*; List of structured allergies and intolerances; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAllergyIntolerance;   ; List of structured allergies and intolerances ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; allergiesAndIntolerances.emptyReason; 0..1; Reason for absence of data (indicates whether the person is known to have no allergies or the data is considered incomplete); CodeableConcept;   ; Use if no Allergies are listed ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; allergiesAndIntolerances.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional ; SHOULD:able-to-populate; SHOULD:display
EHDSPatientSummary; problems; 1..1; Conditions and symptoms affecting the health of the patient.; Base;   ; Section: Medical problems ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; problems.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. ; SHOULD:able-to-populate; SHOULD:process
EHDSPatientSummary; problems.emptyReason; 0..1; Use if no conditions are listed; CodeableConcept;   ; Use if no conditions are listed ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; problems.problem; 0..*; Health conditions affecting the health of the patient.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition;   ; Health conditions affecting the health of the patient. ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; problems.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional ; SHOULD:able-to-populate; SHOULD:process
EHDSPatientSummary; medicationSummary; 1..1; Current and relevant past medicines.; Base;   ; Section: Medication summary ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; medicationSummary.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. ; SHOULD:able-to-populate; SHOULD:display
EHDSPatientSummary; medicationSummary.emptyReason; 0..1; Use if no medicines are listed; CodeableConcept;   ; Use if no medicines are listed ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; medicationSummary.medicationUse; 0..*; Medication treatment/prescription relevant for this patient summary. Typically, medications whose period of time indicated for the treatment has not yet expired whether it has been dispensed or not.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedicationUse;   ; Medication treatment/prescription relevant for this patient summary. Typically, medications whose period of time indicated for the treatment has not yet expired whether it has been dispensed or not. ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; medicationSummary.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional ; SHOULD:able-to-populate; SHOULD:display
EHDSPatientSummary; medicalDevicesAndImplants; 1..1; The devices that are implanted in the patient and external medical devices and equipment that the health
status depends on.; Base;   ; Section: Medical devices and implants ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; medicalDevicesAndImplants.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. ; SHOULD:able-to-populate; SHOULD:process
EHDSPatientSummary; medicalDevicesAndImplants.emptyReason; 0..1; Use if no conditions are listed; CodeableConcept;   ; Use if no conditions are listed ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; medicalDevicesAndImplants.deviceUse; 0..*; Describes the patient's implanted and external medical devices and equipment that their health status depends on. Includes devices (such as cardiac pacemakers, implantable defibrillator, prothesis, ferromagnetic bone implants etc.) that are important to know by the HP.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDeviceUse;   ; Describes the patient's implanted and external medical devices and equipment that their health status depends on. Includes devices (such as cardiac pacemakers, implantable defibrillator, prothesis, ferromagnetic bone implants etc.) that are important to know by the HP. ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; medicalDevicesAndImplants.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional ; SHOULD:able-to-populate; SHOULD:process
EHDSPatientSummary; procedures; 1..1; Significant procedures performed on the patient.; Base;   ; Section: Procedures ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; procedures.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. ; SHOULD:able-to-populate; SHOULD:process
EHDSPatientSummary; procedures.emptyReason; 0..1; Reason for absence of data; CodeableConcept;   ; Reason for absence of data ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; procedures.procedure; 0..*; List of procedures; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure;   ; List of procedures ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; procedures.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional ; SHOULD:able-to-populate; SHOULD:process
EHDSPatientSummary; immunisations; 0..1; A patient's immunisation status (vaccination and other prophylaxis). The section should include current immunisation status and may contain the entire history that is relevant to the period of time being summarised. Adverse reactions against vaccines should be documented in the allergy section.; Base;   ; Section: Immunisations ; SHOULD:able-to-populate; SHOULD:process
EHDSPatientSummary; immunisations.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. ; SHOULD:able-to-populate; SHOULD:process
EHDSPatientSummary; immunisations.immunisation; 0..*; Immunisations given to the patient and their status at the point of care.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSImmunisation;   ; Immunisations given to the patient and their status at the point of care. ; SHALL:able-to-populate; SHALL:process
EHDSPatientSummary; immunisations.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional ; SHOULD:able-to-populate; SHOULD:process
EHDSPatientSummary; functionalStatus; 0..1; An individual's ability to perform normal daily activities required to meet basic needs, fulfil usual roles and maintain health and well-being.; Base;   ; Section: Functional status ; ; 
EHDSPatientSummary; functionalStatus.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. ; ; 
EHDSPatientSummary; functionalStatus.condition; 0..*; Condition information describing patient's functional status or disability.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition;   ; Condition information describing patient's functional status or disability. ; ; 
EHDSPatientSummary; functionalStatus.assessment; 0..*; Assessment results regarding functional status.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Assessment results regarding functional status. ; ; 
EHDSPatientSummary; functionalStatus.note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional ; ; 
EHDSPatientSummary; socialHistory; 0..1; Observations on social factors such as alcohol consumption or smoking. From the healthcare perspective, life-style factors relate to well-being but can also provide a source of risk factors.; Base;   ; Section: Social history ; ; 
EHDSPatientSummary; socialHistory.generatedNarrative; 0..1; Narrative, potentially formatted, content of the whole section.; string;   ; Narrative, potentially formatted, content of the whole section. ; ; 
