Resource; Field; Cardinality; Definition; Type; Binding; Short; Producer Obligation; Consumer Obligation
EHDSLaboratoryObservation; result.dataAbsentReason; 0..1; Provides a reason why the expected value in the element Observation.value[x] is missing.; CodeableConcept; HL7 Data absent reason (preferred)  ; Provides a reason why the expected value in the element Observation.value[x] is missing. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; referenceRange; 0..*; Reference range, multiple reference ranges of different types could be provided. Provides guide for interpretation of the result.; Base;   ; Reference range, multiple reference ranges of different types could be provided. Provides guide for interpretation of the result. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; referenceRange.low; 0..1; Low limit of the reference range.; Quantity; UCUM for units (preferred)  ; Low limit of the reference range. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; referenceRange.high; 0..1; High limit of the reference range.; Quantity; UCUM for units (preferred)  ; High limit of the reference range. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; referenceRange.normalValue; 0..1; Normal value, if relevant for the reference range.; CodeableConcept; SNOMED CT (preferred)  ; Normal value, if relevant for the reference range. ; SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; referenceRange.type; 0..1; Type of reference range.; CodeableConcept; HL7 Observation Reference Range Meaning Codes (preferred)  ; Type of reference range. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; referenceRange.appliesTo; 0..*; Codes to indicate the target population this reference range applies to. For example, a reference range may be based on the normal population or a particular sex or race. Multiple appliesTo are interpreted as an \"AND\" of the target populations.; CodeableConcept; SNOMED CT, HL7 v3-Race (preferred)  ; Codes to indicate the target population this reference range applies to. ; SHALL:able-to-populate; 
EHDSLaboratoryObservation; referenceRange.age; 0..1; Age range to which this reference range applies if applicable.; Range; UCUM for units (preferred)  ; Age range to which this reference range applies if applicable. ; SHALL:able-to-populate; 
EHDSLaboratoryObservation; referenceRange.text; 0..1; Text based reference range in an observation which may be used when a quantitative range is not appropriate for an observation. An example would be a reference value of \"Negative\" or a list or table of \"normals\".; string;   ; Text based reference range in an observation. ; SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; interpretation; 0..*; Information about reference intervals and result interpretation.; CodeableConcept; SNOMED CT, HL7 ObservationInterpretation (preferred)  ; Information about reference intervals and result interpretation. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; note; 0..1; Comments and narrative representation of the observation result and findings.; string;   ; Comments and narrative representation of the observation result and findings. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component; 0..*; Component in case the observation consists of multiple sub-observations (e.g. blood pressure).; Base;   ; Component in case the observation consists of multiple sub-observations (e.g. blood pressure). ; SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component.type; 1..1; Code representing the observation using the agreed code systems.; CodeableConcept; LOINC, NPU, SNOMED CT (preferred)  ; Code representing the observation using the agreed code systems. ; SHALL:able-to-populate; SHALL:display, SHALL:process
EHDSLaboratoryObservation; component.originalName; 0..1; Original (user-friendly) name of the observation as used in the local laboratory or clinical system.; string;   ; Original (user-friendly) name of the observation as used in the local laboratory or clinical system. ; SHOULD:able-to-populate; SHOULD:display
